AverageLength,longueur,Proportion0,Proportion1,ecartType,NumSeqStart1,NumSeqStart0,MedianLength,ModeLength,IQRLength,SkewnessLength,minLength,max length,entropy,bit_transition,IsCode
6.125,8,0.4489795918367347,0.5510204081632653,1.0532687216470449,8,0,6.5,7,1.25,-0.8925935288387572,4,7,0.992476003943082,27,1
5.6,5,0.6071428571428571,0.39285714285714285,1.4966629547095764,5,0,6.0,7,2.0,-0.7301958930821589,3,7,0.9666186325481028,9,1
6.0,1,0.3333333333333333,0.6666666666666666,0.0,1,0,6.0,6,0.0,nan,6,6,0.9182958340544896,1,1
5.5,2,0.5454545454545454,0.45454545454545453,1.5,2,0,5.5,4,1.5,0.0,4,7,0.9940302114769565,6,1
6.555555555555555,9,0.4915254237288136,0.5084745762711864,0.4969039949999533,9,0,7.0,7,1.0,-0.22360679774997777,6,7,0.9997927658541268,24,1
1.0,1,1.0,0.0,0.0,0,1,1.0,1,0.0,nan,1,1,0.0,0,1
5.666666666666667,6,0.47058823529411764,0.5294117647058824,1.4907119849998596,6,0,6.0,7,2.0,-0.626099033699942,3,7,0.9975025463691152,17,1
5.75,8,0.4782608695652174,0.5217391304347826,1.479019945774904,8,0,6.5,7,2.25,-0.7244179326244428,3,7,0.9986359641585718,18,1
6.4,5,0.4375,0.5625,0.48989794855663565,5,0,6.0,6,1.0,0.40824829046386074,6,7,0.9886994082884974,21,1
7.0,1,0.5714285714285714,0.42857142857142855,0.0,1,0,7.0,7,0.0,nan,7,7,0.9852281360342515,5,1
5.8,5,0.5862068965517241,0.41379310344827586,1.16619037896906,5,0,6.0,7,2.0,-0.36317347441943015,4,7,0.9784493292686189,10,1
6.5,4,0.34615384615384615,0.6538461538461539,0.8660254037844386,4,0,7.0,7,0.5,-1.1547005383792517,5,7,0.9305861291319928,11,1
5.4,10,0.42592592592592593,0.5740740740740741,1.624807680927192,10,0,6.0,6,1.75,-0.9399713856603594,2,7,0.9841095278800531,25,1
6.5,2,0.46153846153846156,0.5384615384615384,0.5,2,0,6.5,6,0.5,0.0,6,7,0.9957274520849255,4,1
6.75,4,0.48148148148148145,0.5185185185185185,0.4330127018922193,4,0,7.0,7,0.25,-1.1547005383792517,6,7,0.9990102708804813,12,1
6.0,5,0.4,0.6,1.5491933384829668,5,0,7.0,7,1.0,-1.2909944487358056,3,7,0.9709505944546686,14,1
5.5,4,0.4090909090909091,0.5909090909090909,1.118033988749895,4,0,5.5,4,1.5,0.0,4,7,0.9760206482366149,12,1
6.1,10,0.36065573770491804,0.639344262295082,1.4456832294800963,10,0,7.0,7,1.5,-1.1676404921145982,3,7,0.9432261548473415,23,1
7.0,3,0.42857142857142855,0.5714285714285714,0.0,3,0,7.0,7,0.0,nan,7,7,0.9852281360342515,9,1
6.833333333333333,6,0.36585365853658536,0.6341463414634146,0.37267799624996495,6,0,7.0,7,0.0,-1.7888543819998293,6,7,0.9474351361840307,18,1
5.8,5,0.3793103448275862,0.6206896551724138,0.9797958971132712,5,0,5.0,5,2.0,0.4082482904638636,5,7,0.9575534837147482,12,1
6.111111111111111,9,0.34545454545454546,0.6545454545454545,1.852592444503674,8,1,7.0,7,1.0,-2.2596718515292076,1,7,0.9299429352091801,19,1
5.75,4,0.34782608695652173,0.6521739130434783,2.165063509461097,4,0,7.0,7,1.25,-1.1547005383792512,2,7,0.9321115676166747,12,1
6.5,10,0.47692307692307695,0.5230769230769231,0.6708203932499369,10,0,7.0,7,1.0,-0.9938079899999065,5,7,0.9984628557283827,30,1
5.8,5,0.3793103448275862,0.6206896551724138,1.16619037896906,5,0,6.0,7,2.0,-0.36317347441943015,4,7,0.9575534837147482,15,1
6.714285714285714,7,0.5106382978723404,0.48936170212765956,0.6998542122237652,7,0,7.0,7,0.0,-2.0412414523193156,5,7,0.9996734260048917,19,1
6.285714285714286,7,0.38636363636363635,0.6136363636363636,1.0301575072754257,7,0,7.0,7,1.0,-1.3760831790972021,4,7,0.9624127354629923,16,1
6.333333333333333,6,0.5263157894736842,0.47368421052631576,1.4907119849998596,6,0,7.0,7,0.0,-1.7888543819998317,3,7,0.9980008838722996,15,1
